,title,date,publisher,url,text
0,카카오 미니 vs 네이버 웨이브가 고민인 당신에게,2017.10.02. ,머니투데이,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=008&aid=0003943783,"[머니투데이 이해인 기자] [카카오 미니, 카톡 확인 및 전송 가능…네이버 웨이브, 음악서비스 건당 결제]카카오 미니 출시가 추석 연휴 이후로 예고되면서 국내 인터넷 서비스 투톱 간 AI(인공지능) 스피커 경쟁이 펼쳐진다. 카카오의 카카오미니와 네이버의 웨이브 모두 첫번째 예약 판매에서 40분도 채 안돼 준비된 물량이 모두 소진되는 등 관심을 한 몸에 받고 있는 상황. 웨이브가 네이버의 기술력을 기반으로 한 높은 음성 인식률과 높은 출력의 스피커가 장점이라면, 카카오미니는 국내에 최적화된 다양한 서비스로 무장하고 있다. 기본적으로 두 제품 모두 음성명령을 기반으로 하는 대화형 AI 비서, 검색, 뉴스 확인, 음악 감상, 날씨 안내, 알람 등의 기본 기능을 갖추고 있다. 두 제품 모두 4개의 마이크가 달린 블루투스 스피커로 어떤 방향에서든 음성 인식이 가능하다는 것도 동일하다. 기능적으로 다른 점은 카카오의 경우 '국민메신저' 카카오톡의 메시지 확인 및 전송이 가능하다. 예컨대 카카오 미니를 ""헤이 카카오""로 호출한 뒤 ""새로 온 카톡 읽어줘"" 혹은 ""OO에게 5분 늦는다고 카톡 보내줘"" 등의 명령이 가능한 것. 아침 출근 준비나 외출 준비 중 유용하게 쓰일 것으로 보인다.현재까지 AI 스피커에서 가장 사용률이 높은 음악 서비스의 경우 웨이브는 네이버 뮤직을, 카카오는 멜론을 연동해 서비스한다. 음악 서비스의 경우 정교한 추천을 위해 사용 데이터가 필수인 만큼, 이미 멜론을 사용하던 경우라면 카카오 미니가 더 사용성이 높을 것이라는 관측이 제기된다. 다만 음악 사용률이 크지 않은 경우 네이버 뮤직이 건당 결제 등을 지원해 알뜰 사용자에게 더 적합할 수 있다.또 카카오 미니는 향후 카카오톡 주문하기와 카카오택시 등 자사 O2O(온오프라인연계)를 연동할 예정으로 카카오의 각종 서비스를 적극적으로 이용하는 이용자에게 더 알맞을 것으로 보인다. 물리적으로는 스피커 출력과 무게 면에서 차이를 보인다. 웨이브의 출력이 20W인 반면 카카오 미니는 7W 수준. 웨이브의 출력이 훨씬 크다. 다만 카카오 미니는 AUX 단자와 블루투스를 통한 외부 출력을 지원해 다른 고사양 스피커와 연결해 사용할 수 있다. 이미 사용 중인 고사양 스피커가 있다면 카카오 미니를 구매해 사용하는 것도 방법이다. 한편 카카오 미니는 11만9000원, 웨이브는 15만원으로 책정됐다.▶옆사람이 지금 보는 기사들▶무료만화 즐기고~선물타자! ▶치어리더 vs 레이싱걸 이해인 기자 hilee@mt.co.kr"
1,네이버 ‘기술’... 카카오 ‘서비스’ 양대산맥 주목,,뉴스웨이,http://www.newsway.co.kr/view.php?tp=1&ud=2017100202433789001,
2,"카카오, AI 스피커 '카카오미니C' 고음질 업데이트",2019.05.08. ,블로터언론사 선정,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=293&aid=0000024068,"카카오가 5월8일 스마트스피커 '카카오미니C'의 스피커 성능을 업데이트한다. 소프트웨어 업데이트를 통해 새로운 사운드 알고리즘을 적용하고 음질을 개선하는 방식이다.카카오는 미국 소재 음향 전문 회사 굿헤르츠와 전략적 제휴를 맺고 굿헤르츠의 사운드 알고리즘을 카카오미니C에 적용해 음성과 음폭 기능을 크게 개선했다고 밝혔다. 이용자들은 현장감 있는 고음질 음성과 폭넓은 음역대 음악을 즐길 수 있게 됐다.스피커 성능 업데이트는 멜론 스트리밍뿐만 아니라 블루투스를 통해 재생되는 음악, 동화 읽어주기, 라디오 듣기 기능 등에 모두 적용됐다.굿헤르츠 사운드 알고리즘은 카카오미니C에 내장된 프로세서를 이용해 실시간으로 음질을 개선한다. 카카오에 따르면 특히 음성, 음악의 저음, 고음 부분을 이전보다 훨씬 세밀하게 표현한다. 또 무리한 재생을 실시간으로 감시해 스피커 손상을 줄여준다.이번 업데이트는 8일부터 순차 적용된다. 기존 '카카오미니'에는 적용되지 않는다. 이에 대해 카카오 관계자는 ""구조상 카카오미니C와 카카오미니에 적용된 안드로이드 OS 버전이 다르기 때문에 기존 카카오미니에는 이번 업데이트 적용이 안 된다""라고 밝혔다.카카오는 향후 굿헤르츠와의 지속적인 협업을 통해 극장 모드 등 새로운 음향 효과도 지원할 계획이다.이기범 기자(spirittiger@bloter.net)[블로터 바로가기] ▶ 네이버 메인에서 블로터 뉴스 구독하기 ▶ 블로터 아카데미에서 마케팅 역량을 키우세요 ▶ 갈수록 진화하는 사이버 범죄, 귀사는 대비하고 있습니까?   저작권자 ⓒ(주)블로터앤미디어, 무단 전재 및 재배포 금지"
3,스카이라이프 가입자도 AI 스피커 쓴다…대상 제품은 '구글 홈 미니',,IT조선,http://it.chosun.com/site/data/html_dir/2019/06/03/2019060301789.html,
4,AI스피커 제조사 음질 경쟁…왜?,2019.05.12. ,노컷뉴스언론사 선정,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=079&aid=0003225956,"AI스피커 이용서비스 1위가 음악 감상[CBS노컷뉴스 김수영 기자]AI스피커 누구네모(왼쪽)‧카카오미니C(오른쪽상단)‧기가지니 테이블TV(사진=SK텔레콤‧카카오‧KT 제공)ICT(정보통신기술) 기업들의 '인공지능(AI)스피커' 음질경쟁이 본격화되고 있다. AI스피커 사용자 상당수가 음악 감상용으로 AI스피커를 사용하고 있어서다. 카카오는 지난 8일 미국 소재의 사운드 전문 회사 '굿헤르츠(Goodhertz TM)'와 전략적 제휴를 맺고 굿헤르츠의 사운드 알고리즘을 자사 AI스피커인 '카카오미니C'에 적용한다고 밝혔다. 굿헤르츠의 사운드 알고리즘이 음악과 음성 재생 시 카카오미니C에 내장된 프로세서를 이용해 실시간으로 음질을 개선하고, 특히 음성과 음악의 저음, 고음 부분을 이전보다 훨씬 세밀하게 표현한다고 카카오는 밝혔다. 앞서 AI스피커를 출시한 통신사들도 자사 AI스피커에 높은 품질의 음향 시스템을 장착했다는 점을 강조했다. KT는 화면과 셋톱박스를 결합한 AI스피커인 '기가지니 테이블TV'을 출시하며 ""하만카돈의 프리미엄 스피커를 탑재해 2채널(ch) 스테레오 사운드로 풍부한 음량을 제공 한다""고 홍보했다. SK텔레콤도 디스플레이 탑재형 AI스피커 '누구네모'를 출시하며 ""최적의 울림통을 가진 JBL스테레오 스피커를 탑재했다""고 홍보했다. 전 음역을 표현할 수 있는 2개의 10W 풀레인지 드라이버가 적용됐고, 저음을 증강시키는 4개의 '패시브 래디에이터(Passive Radiator)', '저왜곡 스피커 유닛'가 탑재돼 부드러우면서도 강력한 저음을 제공한다는 것. ICT 기업들이 AI스피커 음향경쟁에 나선 것은 사용자의 상당수가 AI스피커를 음악 감상 목적으로 이용하고 있다는 점이 고려된 것으로 보인다. SKT가 누구네모를 출시하며 밝힌 AI스피커 사용율 자료를 보면 올해 3월 기준 '누구' 서비스 중 가장 많이 이용하는 서비스(33.4%)는 음악이었고 일반서비스(general‧17.2%), 날씨(8.1%), 일정(6.9%), 사물인터넷(IoT‧6.6%) 등이 뒤를 이었다. 어도비(Adobe)가 지난 1월 18세 이상 미국 소비자 1천명을 대상으로 디바이스 음성 활용에 대해 진행한 설문조사에서도 응답자 중 74%(중복응답포함)은 음악 감상을 위해 AI스피커를 사용한다고 밝혔다. 날씨(66%), 재미있는 질문(58%), 알람 및 일정 알림(49%), 뉴스(44%), 온라인 검색(42%) 등이 뒤를 이었다. ▶ 확 달라진 노컷뉴스▶ 노컷뉴스 구독 서비스▶ 재미와 흥미가 있는 동영상 구경하기 sykim@cbs.co.kr저작권자 © CBS 노컷뉴스 무단전재 및 재배포 금지"
5,"커넥트온, 카카오 미니 스피커 통해 `서울 관광명소` 안내 서비스 개시",2019.06.04. ,디지털타임스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=029&aid=0002531538,"주식회사 커넥트온이 오늘(4일) 서울 관광명소를 안내하는 카카오 보이스봇 플러그인을 개발 및 오픈했다고 4일 밝혔다.'서울 관광명소' 플러그인은 카카오 스피커에 적용된 플러그인 중 최초로 지자체 홍보를 목적으로 개발된 서비스로, 카카오 공식 챗봇 에이전시인 '커넥트온'이 서울시의 의뢰로 개발을 맡았고 2019년 5월 28일부터 카카오 인공지능 스피커 미니를 통해 서비스가 개시됐다.이번에 오픈한 카카오 스피커 플러그인은 수백 개 이상의 서울시 관광명소 정보를 담고 있으며, '서울아 이번 주말에 여자친구와 나들이 갈 만한 곳 알려줘', '서울아 광화문 걷기 좋은 곳 추천해줘' 같은 식으로 일정, 목적, 상권 정보를 포함해서 자유롭게 질문하더라도 질문 의도를 인식해 그에 적합한 여러 곳의 추천 관광지를 안내하도록 개발됐다고 한다.특히, 서울 관광명소 봇은 단발성 문의 천답변만 가능한 대부분의 기존 봇들과 달리 대화의 흐름에 따라 연속적인 대화가 가능하도록 개발되어, 복수의 추 관광지 중 특정 관광지의 상세 정보를 확인하거나 해당 관광지의 주차 가능 여부, 휴관일, 이용시간, 입장료 등을 추가로 안내 받을 수 있어 더 편리하다는 것이 업체 측의 설명이다.또한, 별도 관리 툴을 통해 관광지 정보의 추가나 변경이 쉽도록 개발이 되어 최근에 뜨는 관광명소 정보를 이용자들이 빠르게 안내 받을 수 있도록 한 것으로 알려졌다.커넥트온 윤정희 이사는 ""인공지능 스피커를 구매한 가구가 빠르게 늘어나고 있으나 막상 이용자 입장에서 음악 듣기와 날씨 안내 이외에 인공지능 스피커를 적극 활용할 만한 서비스를 찾기 어려운 상황이다. 관광지 안내 서비스는 스피커 단독으로도 충분한 정보 제공이 가능하며 다양한 이용자 질문에 대응이 가능하도록 개발되어 높은 이용자 만족도가 예상된다.""며 ""이번 서울시를 시작으로 하여 관광 산업 비중이 높은 지자체들을 중심으로 새로운 지역 홍보 채널로 적극적 서비스 확대가 이뤄질 것으로 전망된다""고 말했다.imkt@dt.co.kr 디지털타임스 기획 : [ ] 에게 고견을 듣는다 / [연중기획] 풀뿌리상권 살려내자네이버 채널에서 '디지털타임스'를 구독해주세요."
6,"세계 AI스피커 시장, 美·中 2강구도 굳어지나",2019.06.02. ,파이낸셜뉴스,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=014&aid=0004238175,"인공지능(AI) 스피커 시장이 미국과 중국 IT업체의 2강구도가 될 조짐을 보이고 있다. 시장이 빠르게 커지면서 바이두, 알리바바 등 중국 업체들이 시장을 파고 들었다. 이 가운데 국내 업체들만 세계 시장에서 맥을 못추고 있다는 지적이 나오고 있다.   ■AI스피커 美·中 2강구도 2일 시장조사업체 스트래티지 애널리틱스에 따르면 올해 1·4분기 전세계 AI 스피커 시장 1·2위는 아마존(21.7%)과 구글(18%)이 차지했다. 그 뒤는 중국 업체들의 몫이었다. 바이두(15.8%)와 알리바바(14.1%), 샤오미(13.1%)가 나란히 3~5위를 차지했다. 이 3개 중국업체를 합친 점유율은 43%로 사실상 세계 시장의 절반을 장악한 셈이다. 소비자 대다수가 자국 수요지만 향후 파급력을 무시하기 힘들다.  미국과 중국 업체들의 성장세도 가파르다. 아마존과 구글은 각각 전년 동기대비 50%, 92% 성장했다. 바이두는 지난 2017년 말 시장에 뛰어들었다. 지난해 1분기 0.1%를 점유했으나 폭발적인 성장을 기록했다. 같은기간 알리바바와 샤오미는 각각 243%, 518% 급성장했다.  바이두는 AI스피커 시장을 파고들기 위해 중국 관영 CCTV와 단독 제휴를 맺고 마케팅을 벌였다. 1분기에만 330만대를 팔아치우며 단숨에 점유율을 높였다.   ■국내 AI스피커, 여전히 걸음마 단계 국내 AI스피커는 세계 시장에서 존재감이 미미하다. 주요 시장조사업체의 조사에서 국내 업체의 점유율은 집계 조차 되지 않고 있는 상황이다. 현재 국산 AI스피커는 이동통신사들이 내놓은 누구, 기가지니 등과 네이버가 내놓은 클로바, 카카오미니C 등이다.  전문가들은 국내 업체들이 시장을 확대하지 못하는 이유로 2가지를 꼽고 있다. 우선 미국과 중국에 비해 내수 시장이 작다는게 한계다. 언어 장벽도 장애물이다. 개발 단계에서 한국어가 최우선이기 때문에 영어 등 다른 언어권 공략이 쉽지 않기 때문이다.  현재 글로벌 시장 공략을 염두에 두고 제품을 개발중인 국내 업체는 삼성전자 1곳 뿐이다. 하지만 삼성전자는 지난해 8월 미국 뉴욕에서 ‘갤럭시 홈’을 언론에 공개한 이후 여전히 시장 진입 시기를 미루고 있다. 폴더블 폰인 ‘갤럭시 폴드’ 상용화를 앞둔 상태에서 제품 출시 우선순위를 미뤄둔 것이라는 해석이 나온다. 최근엔 갤럭시 홈의 소형 버전이 ‘갤럭시 홈 미니’를 미국 통신위원회(FCC)로부터 승인 받기도 했다. 50달러 안팎의 소형 제품을 먼저 출시할 가능성도 높아졌다.  한 업계관계자는 “대다수 국내 AI스피커 제조업체들이 한국어권 소비자들 타깃으로 개발해 세계 시장에서 얼마나 먹힐지는 좀 더 연구가 필요하다”면서 “중국 업체들처럼 막대한 마케팅비용을 쓸 수 있는 처지가 아니면 당분간 국산 AI스피커가 세계 시장을 파고들기는 쉽지 않을 것”이라고 말했다. ksh@fnnews.com 김성환 기자   ▶ 헉! 소리나는 스!토리 뉴스 [헉스]▶ 클릭해, 뉴스 들어간다 [뉴스쿨] ▶ 세상에 이런일이 [fn파스]  ※ 저작권자 ⓒ 파이낸셜뉴스. 무단 전재-재배포 금지"
7,삼성도 곧 참전…치열한 ‘AI 스피커’ 거실쟁탈전,2019.04.26. ,ZDNet Korea언론사 선정,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=092&aid=0002160871,"아마존과 구글이 이끌어…국내에선 통신사 주도(지디넷코리아=권혜미 기자)스마트폰 다음은 스마트홈이다. 최근 IT 기업들이 인공지능(AI) 스피커 시장에 앞다퉈 진출하고 있다. AI 스피커를 앞세워 사용자 집안으로 들어가기 위함이다.미국 시장조사기관 가트너에 따르면 전세계 AI 스피커 시장은 오는 2020년에 21억 달러(약 2조 3천400억원) 규모로 성장할 전망이다. 그만큼 올해 치열한 경쟁이 예고된다.음성비서 알렉사를 탑재한 스마트스피커 아마존 에코 시리즈. 지원 언어와 출시 지역이 영어와 일부 유럽 지역이었는데 2017년 10월 인도에 이어 11월 중순 일본 출시를 통해 아시■ AI 스피커, 스마트폰과 뭐가 다를까안드로이드 스마트폰 구글 어시스턴트와 구글 홈 구글 어시스턴트는 다를까. 아이폰 시리와 홈팟 시리는 같을까. AI 스피커는 스마트폰 음성 비서 기능과 별반 차이가 없다. 그렇다면 왜 AI 스피커가 스마트홈 핵심 기기로 주목받을까. ‘터치’에 이어 ‘음성’이 인터넷을 이용하는 새로운 방식이 될 것이라는 전망 때문이다.음성인식 기술을 구현하는 데 있어 핵심인 소리나 음성을 주고받는 데 가장 필요한 것은 마이크와 스피커다. 상시로 음성 데이터를 녹음하고 클라우드 서버에 저장해 학습하기 위해서는 스마트폰보다 스피커 형식이 더 효율적이다.이렇게 음성 인터페이스 플랫폼을 선점하면 스마트홈 시장을 선점하기 쉬워진다. 스마트홈은 집 안 가전제품을 비롯해 조명이나 스위치, 콘센트 등 모든 장치를 통신에 연결해 원격 제어할 수 있는 집을 말한다. 여기서 AI 스피커가 중심축 역할을 하게 되는 것이다.메리츠종금증권 정지수 연구원은 “음성인식 스피커 시장에는 선점하면 그 이후 막대한 이점을 안고 사업을 진행할 수 있는 시장선점우위가 존재한다”며 “더 많은 데이터를 수집하고, 더 다양한 제휴 업체들과 손을 잡아 생태계를 먼저 구축하는 사업자일수록 유리한 시장”이라고 설명했다.■ 아마존과 구글이 주도하는 AI 스피커 시장스마트폰의 시작이 애플이라면 AI 스피커의 시작은 아마존이다. 현재 시장을 이끄는 것도 아마존이다. 아마존은 2014년 알렉사를 탑재한 에코를 첫 출시했다. 지난해 12월 아마존 발표에 따르면 알렉사와 호환되는 스마트홈 기기는 2만8천개가 넘는다.구글 홈 미니 (사진=씨넷)구글은 2016년 구글 어시스턴트 기반의 AI 스피커 구글 홈을 발표했다. 구글은 지난해 9월 한국어 서비스를 지원하는 구글 홈을 국내 출시하기도 했다. 구글 어시스턴트와 연동 가능한 스마트홈 기기는 1만개 이상이다.출시 시기는 점유율에 영향을 준다. AI 스피커 시장 점유율 선두는 아마존이다. 시장조사업체 이마케터에 따르면 2018년 미국 AI 스피커 시장 점유율 1위는 아마존으로 67%에 달한다. 2위는 점유율 30% 수준을 차지한 구글이다. 이마케터는 아마존이 2020년까지 미국 시장 점유율 1위를 유지할 것이라 내다봤다.■ 국내는 통신사, 가전사, 포털업체 진출국내 AI 스피커 시장은 통신사, 가전사, 포털 업체들이 진출한 상태로 아직 뚜렷한 1위 사업자는 없다. 한국어를 중심으로 실행되는 국내 음성비서는 국내 시장을 선점하는 데 주력하고 있다.국내 AI 스피커 시장에는 통신사, 가전사, 포털 업체가 진출했다. (사진=KT경제경영연구소)특히 통신사업자가 주도적이다. SK텔레콤은 2016년 9월 음성인식 스피커 ‘누구’를 국내 최초로 출시했다. KT는 2017년 1월 ‘기가지니’를 선보였다. 여기에 인터넷 기업 네이버와 카카오도 각각 ‘프렌즈’와 ‘카카오 미니’를 내놓았다.이른 시일 내에 삼성전자도 첫 AI 스피커 ‘갤럭시 홈’을 출시할 것으로 예측된다. 삼성전자 미국 홈페이지에는 갤럭시 홈 이미지에 ‘커밍 순’이라는 문구가 걸렸다.갤럭시 홈 이미지에 '커밍 순'이라는 문구가 걸렸다. (사진=삼성전자 홈페이지 갈무리)KT그룹 디지털 미디어렙 나스미디어가 펴낸 ‘2019 디지털 미디어&마케팅 전망’ 보고서에 따르면 올해 국내 AI 스피커 보급 대수는 800만대에 달할 것으로 예측된다. 10가구 중 4가구는 AI 스피커를 보유하게 되는 셈이다.■ ‘이것은 스피커인가 TV인가’ 스마트 디스플레이 등장AI 스피커에 디스플레이를 탑재한 제품도 나온다. 이른바 스마트 디스플레이다. 터치스크린을 통해 동영상 시청이나 웹 브라우징, 영상 통화 등이 가능하다.아마존은 2017년 알렉사 기반 스마트 디스플레이 ‘에코 쇼’를 출시했다. 페이스북도 알렉사가 연동된 스마트 디스플레이 ‘포털’을 공개한 바 있다. 지난해 구글과 레노버, JBL, LG전자 등이 구글 어시스턴트를 탑재한 스마트 디스플레이를 선보였다.오는 29일 SK텔레콤도 ‘누구 네모’를 출시할 예정이다. 누구 네모는 기존 ‘누구’에 7인치 디스플레이를 탑재한 제품이다. 누구 네모는 디스플레이를 통해 영상 콘텐츠를 즐길 수 있으며 실시간 환율정보, 증권정보, 운세 등을 확인할 수 있다.SK텔레콤이 디스플레이를 탑재한 AI 스피커 ‘누구 네모’를 18일 공개했다.(사진=SK텔레콤)LG유플러스도 화면 달린 AI 스피커 'U+AI 어벤져스' 출시를 앞두고 있다. 'U+AI 어벤져스'는 마블과 협업한 AI 스피커로 네이버의 음성인식 비서 '클로바'를 품었다.■ “AI 스피커, 말귀부터 잘…”AI 스피커는 디스플레이 탑재나 음질 개선 등을 통해 다양한 모습으로 진화 중이다. 하지만 아직 갈 길이 멀다는 지적도 나온다. AI 스피커의 본질이라 할 수 있는 음성인식 소프트웨어 개발에 더욱 투자해야 한다는 것이다.실제로 AI 스피커 사용자는 음성인식에 가장 많은 불만을 품었다. 2017년 한국소비자원 조사에 따르면 AI 사용 중 소비자 불편 사항으로 ‘음성인식 미흡’(56.7%)이 가장 많았고 ‘연결형 대화 곤란’(45.7%), ‘외부소음을 음성명령으로 오인’(37.0%) 등을 꼽았다.한국소비자원 측은 “음성인식 스피커는 첨단기술이 적용된 인공지능 가전제품으로 광고되지만 음성인식이 미흡하거나 음성명령을 오인하는 등 불편이 있는 것으로 나타났다”며 “지속적인 품질개선이 필요한 상황”이라고 전했다.이어 “인공지능에 대한 명확한 정의가 정립되지 않았고, 현행 법률의 유사한 개념(지능 정보기술)을 적용하더라도 국내 업체의 ‘인공지능’의 표시·광고가 타당한지에 대한 검토가 필요하다”라고 강조했다.권혜미 기자(hyeming@zdnet.co.kr) ▶ 지디넷코리아 '홈페이지' / ▶ 지디넷코리아 ‘이슈진단+’  ▶ 네이버 채널에서 ‘지디넷코리아’를 구독해주세요"
8,"""한꺼번에 말해도 괜찮아""...인공지능 음성 분리 기술 나왔다",,이코노믹리뷰,http://www.econovill.com/news/articleView.html?idxno=364734,
9,"카카오, AI스피커 시각장애인에 기증",,미디어SR,http://www.mediasr.co.kr/news/articleView.html?idxno=52330,
